Tiêu đề,Địa chỉ,Miêu tả,Ngày đăng,Ngày hết hạn,Giá,Diện tích,Hướng nhà,Hướng ban công,Số phòng,Vệ sinh,Mặt tiền,Chiều rộng mặt tiền,Số tầng,Tình trạng  pháp lý,Nội Thất Cao Cấp,Loại danh sách,ID danh sách
"Bán nhà mặt phố Tây Sơn 89m2 5 tầng, mặt tiền siêu kinh doanh 6m giá siêu hời.","Đường Tây Sơn, Phường Ngã Tư Sở, Đống Đa, Hà Nội","Chính chủ gửi bán nhà mặt phố Tây Sơn, mặt tiền rộng diện tích lớn giá nho nhỏ. - Diện tích 89m² mặt tiền 6m - Thiết kế nhà 5 tầng, đang cho thuê kinh doanh 600tr/năm - Khu vực hiếm nhà bán, quy hoạch cực kỳ ổn định -  Trung tâm quận Đống Đa, Ngã Tư Sở, kinh doanh siêu tốt. - Dòng tiền ổn định phù hợp vừa ở vừa cho thuê hoặc cho thuê hoàn tài vận hành dòng tiền. - Sổ đỏ vuông vắn sẵn sàng giao dịch. - Liên hệ em Linh Mặt Phố để xem nhà 0866 866 ***",10/11/2024,20/11/2024,42 tỷ,89 m²,N/A,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,N/A,Tin thường,41483684
"Siêu hiếm, bán nhanh, mặt phố Chùa Bộc, vỉa hè rộng DT48m, 5 tầng, mặt tiền 6,2m, giá chỉ 42 tỷ","Phố Chùa Bộc, Phường Quang Trung, Đống Đa, Hà Nội","* Siêu hiếm mặt phố, Chùa Bộc; dt 48m, 5 tầng, mặt tiền 6.2m, giá 42 tỷ. * Mô tả; * Mặt phố vip - mặt tiền rộng - lô góc - sổ hoa hậu. + Nhà vị trí đẹp, lô góc mặt phố Chùa Bộc, khu phố vip nhất nhì quận Đống Đa, nhu cầu thuê, ở rất lớn, mặt tiền rộng 6.2m quá lý tưởng để xây building thang máy, thông sàn có hầm. Vỉa hè đá bóng, phố kinh doanh sầm uất ngày đêm. + Thiết kế: - Hiện trạng nhà 4 tầng cũ, tầng chia 2 phòng, WC. Tổng 05 phòng. Xác định bán đất. - Hiện đang cho thuê đã 900tr/năm, xây lên Building cực kỳ đẹp, cho giá trị hơn gấp nhiều lần. + Sổ đỏ chính chủ, vuông vắn trước sau như 1, giao dịch ngay. * LH;  0913 963 ***",06/11/2024,17/11/2024,42 tỷ,48 m²,5 tầng,5 phòng,Đầy đủ,N/A,"6,2 m",22 m,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41451578
"HÀNG HOT! GIẢM CHÀO 2TỶ . BÁN NHÀ MẶT PHỐ CHÙA BỘC DIỆN TÍCH 50M, MẶT TIỀN 6,5M SẴN 5 TẦNG.","Phố Chùa Bộc, Phường Quang Trung, Đống Đa, Hà Nội","Nhà mặt phố Chùa Bộc, Phường Quang Trung, Đống Đa, Hà Nội đang chờ bạn. -  Diện tích 50m² x 5 tầng, chỗ này không chỉ là nơi ở mà còn là cơ hội đầu tư cực xịn. -  Pháp lý đầy đủ, nên bạn cứ yên tâm mà phát triển kinh doanh hay cho thuê nhé. - Chủ cần tiền cần bán gấp thương lượng tốt - Khu vực này cực kỳ sầm uất, gần nhiều quán cafe, shop thời trang và tiện ích khác. Phong thủy cũng ổn áp, giúp thu hút tài lộc cho bạn. Thích hợp cho ai đang tìm kiếm không gian sống gần gũi với nhịp sống trẻ trung và năng động. Liên hệ ngay để biết thêm thông tin và không bỏ lỡ cơ hội này nhé!  0964 228 ***  Phạm Thị Sinh",10/11/2024,20/11/2024,42 tỷ,50 m²,N/A,N/A,N/A,N/A,5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,Tin thường,41483721
Bán gấp nhà mặt phố Tôn Thất Tùng - gần ĐH Y Hà Nội - kinh doanh - 80m2 - MT: 5.5m - 42 tỷ,"Đường Tôn Thất Tùng, Phường Nam Đồng, Đống Đa, Hà Nội","Chủ đã mua được nhà khác nên cần bán gấp nhà mặt phố Tôn Thất Tùng đối diện Đại học Y hà Nội. Mặt phố - kinh doanh - vuông đẹp - xây cao tầng - chủ cần gấp - giá đầu tư. + Diện tích: 80m². + Mặt tiền: 5.5m. + Nhà 5 tầng. + Giá: 42 tỷ. + Vị trí nhà nằm ngay đầu phố Tôn Thất Tùng gần Mặt phố Trường Chinh, Lê Trọng Tấn cách Bảo Tàng Quân Đội tầm 300m; gần Đại học Y Hà Nội... Khu vực dân cư đông đúc, nhu cầu mua bán, kinh doanh cao, tiện ích đủ. + Phù hợp khách mua xây tòa 7 - 8 tầng hiệu suất khai thác sẽ tối ưu hơn. + Cơ hội cho khách hàng mua đầu tư cho thuê, chờ bất động sản tăng giá. + Hiện tại nhà đang cho siêu thị thuê kinh doanh, 1 tháng 60 triệu nhẹ nhàng. + Thiết kế nhà 5 tầng, có ô chờ thang máy, tầng chia 2 phòng rất thoáng. + Liên hệ xem nhà và được kết nối chính chủ làm việc trực tiếp:  0915 551 *** E Thùy chuyên mặt phố - kinh doanh).",10/11/2024,20/11/2024,42 tỷ,80 m²,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,"5,5 m",20 m,6 phòng,N/A,N/A,Tin thường,41374664
Bán penthouse thông tầng 450m tòa D'.le Pont Dor 34 Hoàng Cầu giá chỉ 93tr/m2 SĐCC 0919 636 ***,"Dự án D’. Le Pont D’or - Hoàng Cầu, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","Gia đình cần bán căn penthouse - duplex thông tầng - đẳng cấp duy nhất view hồ Hoàng Cầu. - Căn hộ penthouse thông tầng 22/23 Toà căn hộ cao cấp D'. Le Pont Dor - THM. - DT: 450m 5 phòng ngủ và các phòng chức năng. - Ban công sân vườn rộng hơn 30m, hướng Nam view hồ. Hiện trạng thô, gia chủ tuỳ ý decor theo sở thích. Sổ đỏ sẵn sàng giao dịch. Gía: 42 tỷ. LH:  0919 636 ***  Mr Hướng.",04/11/2024,04/12/2024,42 tỷ,450 m²,5 phòng,4 phòng,Không nội thất,N/A,Tây - Bắc,Đông - Nam,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41424234
"Bán nhà mặt phố Trung Kính, DT: 85m2, mặt tiền 6m, 8 tầng thang máy HĐ cho thuê 150tr/th, giá 42 tỷ","Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội","Bán nhà mặt phố Trung Kính, Cầu Giấy, DT: 85m², mặt tiền: 6m, 8 tầng thang máy cho thuê 150tr/th, giá 42 tỷ. Mô tả: - Vị trí thuộc phố Trung Kính, trung tâm quận Cầu Giấy tiếp giáp các tuyến phố Vũ Phạm Hàm, Dương Đình Nghệ, Phạm Văn Bạch, Trần Thái Tông,... 3 bước chân ra Đại Sứ Quán Mỹ. - Diện tích sàn 85m², mặt tiền 6m thiết kế 8 tầng thông sàn, thang máy hiện đại. - Sổ đỏ chính chủ sang tên ngay.",07/11/2024,17/11/2024,42 tỷ,85 m²,Sổ đỏ,N/A,N/A,N/A,6 m,8 tầng,N/A,N/A,N/A,Tin thường,38924703
Toà văn phòng view hồ Phương Mai - Đống Đa 107m2 9tầng MT5m - ô tô tránh vỉa hè kinh doanh cực đẹp,"Phố Phương Mai, Phường Kim Liên, Đống Đa, Hà Nội","* Vị trí đẹp mặt tiền view hồ, cực kỳ đắc địa, thiết kế phong cách hiện đại. Đường mặt hồ + vỉa hè. Khu vực thuận tiện kinh doanh, làm văn phòng, mở phòng khám hay cửa hàng thiết bị y tế đều vô cùng thuận tiện. * Nhà thiết kế hiện đại 9tầng thông sàn cầu thang cuối. Hiện đang thô bán theo hiện trạng chủ mới tự hoàn thiện theo mục đích sử dụng. * Sổ đỏ pháp lý chuẩn. ------------------------- * Không mất thời gian của anh chị. Em Quang Vinh cam kết cung cấp thông tin nhà chuẩn! * Em hỗ trợ check Quy Hoạch hoàn toàn Miễn Phí! * Gọi ngay hoặc zalo:  0929 596 *** . * Cảm ơn anh chị đã đọc tin!",01/11/2024,12/11/2024,"42,4 tỷ",107 m²,9 tầng,9 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,5 m,8 m,10 phòng,N/A,N/A,Tin thường,41264642
"Siêu phẩm duy nhất tại đường Tây Sơn, bán nhà mặt phố 250m2, mặt tiền 6.2m giá đầu tư 42,5 tỷ vnd","Đường Tây Sơn, Phường Quang Trung, Đống Đa, Hà Nội","Nhà mặt phố tại Đường Tây Sơn, Phường Quang Trung, Đống Đa, Hà Nội, với diện tích 250m², giá bán 42,5 tỷ VND. - Mặt tiền rộng 6,2m, lý tưởng cho việc xây tòa nhà kinh doanh. - Pháp lý đầy đủ, đảm bảo an tâm cho người mua. - Khu vực sầm uất, thuận tiện giao thông, gần nhiều tiện ích như trường học, bệnh viện, và trung tâm thương mại. - Phong thủy tốt, mang lại tài lộc cho gia chủ. Liên hệ ngay để biết thêm chi tiết và không bỏ lỡ cơ hội này!  0986 608 ***  Hà Giang.",07/11/2024,14/11/2024,"42,5 tỷ",250 m²,N/A,N/A,N/A,N/A,"6,2 m",Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,Tin VIP Bạc,41461040
"BÁN NHÀ MẶT PHỐ NGUYỄN VĂN TUYẾT, HAI THOÁNG, 95M2, 4 TẦNG, MẶT TIỀN 6M, 42,5 TỈ","Đường Nguyễn Văn Tuyết, Phường Trung Liệt, Đống Đa, Hà Nội","- Nhà nằm trên con phố Nguyễn Văn Tuyết ngay đầu Tây Sơn, vài phút ra Thái Hà, Thái Thịnh, Yên Lãng, Cát Linh, Hào nam, Chùa Bộc, Tôn Đức Thắng,  - Nhà hiện xây 4 tầng đã cũ, hiện cho thuê bán coffe 50 triệu/ tháng - Chủ xác định bán đất tặng nhà, rất phù hợp đầu tư xây dựng toà nhà trong tương lai - Chủ cần thanh khoản nhanh, giá chào cực kỳ hấp dẫn - Sổ đỏ vuông đẹp, nở hậu nhẹ, cất két, sẵn sàng giao dịch - Hotline:  0967 926 *** Chuyên tư vấn BĐS triệu đô)",10/11/2024,20/11/2024,"42,5 tỷ",95 m²,N/A,N/A,N/A,N/A,6 m,N/A,N/A,N/A,N/A,Tin thường,41486084
"Vỉa hè + MT siêu rộng - MP Nguyễn Văn Tuyết ngay đầu phố, vuông đét 2 thoáng - phố ẩm thực","Đường Nguyễn Văn Tuyết, Phường Trung Liệt, Đống Đa, Hà Nội","Có cơ duyên mới gặp được, căn nhà mặt phố Nguyễn Văn Tuyết, phường Trung Liệt, 5 tầng đang cho thuê ổn định, đúng đoạn đẹp đỗ được nhiều xe. DT 85m² - mặt tiền 5.8m vuông nở hậu, có ngõ sau nhà. - Nơi cung cấp trải nghiệm thật, luôn nỗ lực mang đến sự tiết kiệm, hiệu quả, tin cậy cho khách hàng chính nghĩa. - Kênh này được tạo ra nhằm làm cho bạn: Hài lòng với quyết định trọng đại của chính mình! LH Tùng Lâm  0948 332 ***",09/11/2024,09/12/2024,"42,5 tỷ",85 m²,Tây - Nam,Tây - Nam,Sổ đỏ/ Sổ hồng,N/A,"5,8 m",10 m,5 tầng,N/A,N/A,Tin thường,39997169
"Bán nhà mặt phố Nguyễn Văn Tuyết, tuyến phố kinh doanh sầm uất bậc nhất Đống Đa. 89m2 mặt tiền 6m","Đường Nguyễn Văn Tuyết, Phường Trung Liệt, Đống Đa, Hà Nội","Bán nhà mặt phố Nguyễn Văn Tuyết, Đống Đa. Vị trí trung tâm kinh doanh sầm uất nhất quận, tuyến phố luôn nhộn nhịp đêm ngày. Vỉa hè đá bóng mặt tiền rộng thoáng sáng. Diện tích 89m² x 4 tầng mặt tiền 6m nở hậu hai mặt thoáng. Hiện tại đang cho thuê kinh doanh đều đặn 50tr/ tháng. Phù hợp xây tòa building văn phòng công ty, kinh doanh căn hộ dòng tiền, hoặc vừa ở vừa kinh doanh thương hiệu.. Phù hợp mọi loại hình kinh doanh. * Sổ đỏ chính chủ nở hậu. * Pháp lý đẹp giao dịch. * Chủ thiện trí bán. * Giá bán: 42.5tỷ. * Liên hệ ngay:  0936 094 ***  Hoàng Anh gặp chính chủ.",08/11/2024,18/11/2024,"42,5 tỷ",89 m²,Sổ đỏ chính chủ nở hậu đẹp,Cơ bản,N/A,N/A,6 m,4 tầng,N/A,N/A,N/A,Tin thường,41261707
Bán đất tặng nhà cấp 4 phố Nguyễn Khánh Toàn 200m2 hơn 40 tỷ.,"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội","Nguyễn Khánh Toàn 196m², đất, MT 9.1m, giá bán nhỉnh 42 tỷ (CTL). LH:  0983 847 *** - Ô tô vào đất, xác định bán đất. - Phù hợp xây biệt thự, buiding, CCMN. - Sổ đỏ chính chủ sẵn sàng giao dịch. - LH: Mrs Hà  0983 847 ***  Chuyên nhà phố Hà Nội.",10/11/2024,20/11/2024,"42,8 tỷ",196 m²,2 phòng,- Sổ đỏ,N/A,N/A,"9,1 m",1 tầng,N/A,N/A,N/A,Tin thường,40280699
chính chủ cần bán gấp nhà mặt phố Hoàng Cầu Nguyễn Văn Tuyết 2 mặt tiền 86m2 vỉa hè kinh doanh 40T,"Đường Nguyễn Văn Tuyết, Phường Trung Liệt, Đống Đa, Hà Nội","Căn nhà rất hiếm độc nhất nằm trên mặt phố Hoàng Cầu -  Nguyễn Văn Tuyết là con phố đi bộ đã được lát nhựa mịn, vỉa hè rộng. Kinh doanh rất đỉnh với dòng tiền thụ động gần 1 tỷ/năm (xem video để xem cận cảnh nhà Vip). + Thông số thật nhà mặt phố Nguyễn Văn Tuyết Trung Liệt Đống Đa: - Diện tích 86m², xây 5 tầng khung cột sửa thang máy dễ dàng. - Mặt tiền rộng mênh mông 5.8m nở hậu 6m rất đẹp. 2 mặt tiền và không lỗi phong thủy. - Sổ đỏ chính chủ, pháp lý sạch, cam kết không quy hoạch giao dịch ngay. + Giá trị chỉ duy nhất 1 căn mặt phố Nguyễn Văn Tuyết này mới có. - Vị trí rất đắc địa, nằm đoạn kinh doanh sầm uất nhất phố, tập trung nhiều nhà hàng, các cửa hàng món ăn đặc sản, là tuyến phố ăn đêm và phố đi bộ từ Hào Nam Cát Linh đến Hoàng Cầu Nguyễn Văn Tuyết. Nhà 2 mặt tiền nên càng giá trị hơn. - Chủ nhà cần bán gấp, em Dung làm việc trực tiếp nên giá bán rất mềm chỉ gần 43 tỷ. Chủ bán nhanh để chuyển sang Đức ở. - Đang sẵn dòng tiền cho thuê 840tr/năm, chủ mới về nối tiếp hợp đồng hoặc sửa là tòa nhà thì giá trị tăng gấp 2. ------------------------- Căn này duy nhất đang là mặt phố Vip, tiềm năng có giá rất mềm, các bác nhanh tay gọi cho em Dung Nhà Triệu Đô mới kịp nhé.",09/11/2024,19/11/2024,"42,9 tỷ",85 m²,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,"5,8 m",12 m,5 phòng,N/A,N/A,Tin thường,41134660
"Bán nhà Cầu Giấy 90m2 MT7,5m tương lai mặt phố Dương Đình Nghệ thông với Nguyễn Văn Huyên rộng 45m","Phường Quan Hoa, Cầu Giấy, Hà Nội","Vị trí đắc địa ngay nút giao vành đai 2 tương lai quy hoạch mặt phố Dương Đình Nghệ kéo dài thông với Nguyễn Văn Huyên kéo dài thông tới DSQ Mỹ, bộ nội vụ, báo lao động, bênh viện huyết học trung ương, xung quanh nhiều trường đại học lớn, vị trí trung tâm lõi kinh doanh lớn nhất Quận Cầu Giấy. Trước nhà rộng 45m² lô góc.",01/11/2024,11/11/2024,43 tỷ,90 m²,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,N/A,"7,5 m",45 m,3 phòng,N/A,N/A,Tin thường,41389619
"Tòa nhà Thái Hà, Đống Đa 7 tầng, 110m2, MT 8m, thang máy, vỉa hè, ô tô, kinh doanh sầm uất 43.5 tỷ","Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội","Hàng hiếm - trung tâm Đống Đa - 7 tầng thang máy - em trai mặt phố - phân lô - kinh doanh sầm uất - ô tô tránh đỗ - vỉa hè - khu phố vip nhất quận. + Vị trí trung tâm ngõ to đẹp như phố. + Nhà khu phân lô, ô tô tránh vỉa hè, kinh doanh cực kì ầm uất. + Thiết kế 7 tầng thang máy, thông sàn, có tầng chia 2 phòng, thuận tiện cho việc kinh doanh hoặc kết hợp vừa ở vừa kinh doanh đa dạng. Hiện chủ đang cho thuê dòng tiền cực tốt. + Sổ đẹp chính chủ, pháp lý chuẩn giao dịch ngay.",08/11/2024,18/11/2024,"43,5 tỷ",110 m²,7 tầng,14 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,8 m,20 m,14 phòng,N/A,N/A,Tin thường,41244611
"Gia đình cần bán nhà mặt phố Nguyễn Văn Tuyết, Đống Đa, 90m2 x 5 tầng, MT 6m giá 43.5 tỷ","Đường Nguyễn Văn Tuyết, Phường Trung Liệt, Đống Đa, Hà Nội","Cần bán nhà mặt phố với giá 43,5 tỷ VND, tọa lạc tại Đường Nguyễn Văn Tuyết, Phường Trung Liệt, Đống Đa, Hà Nội, có diện tích 90m² và pháp lý rõ ràng với Sổ đỏ. --------- Thông tin cơ bản. Pháp lý: Sổ đỏ/ Sổ hồng. Giá: 43,5 tỷ VNĐ. Diện tích: 90m². Mô tả chi tiết. Nguyễn Văn Tuyết, con phố ẩm thực nổi tiếng giữa trung tâm Đống Đa, Hà Nội, là điểm đến không thể bỏ qua cho những tín đồ ẩm thực. Với hàng loạt các quán ăn, nhà hàng đa dạng từ các món ăn truyền thống đến hiện đại, nơi đây luôn tấp nập khách qua lại cả ngày lẫn đêm. Ngôi nhà 5 tầng, diện tích 90m, mặt tiền rộng 6m trên con phố này, không chỉ là không gian sống lý tưởng mà còn là cơ hội kinh doanh đắc địa, phù hợp cho việc mở nhà hàng, quán cà phê hay các dịch vụ liên quan đến ẩm thực. Đặc biệt, với khoảng không thoáng phía sau, nơi đây càng thêm lý tưởng cho những ai muốn kết hợp giữa không gian ẩm thực và nghỉ ngơi, thư giãn. Nhà mặt phố với vị trí đắc địa, thuận tiện cho việc kinh doanh và sinh sống. Khu phố sầm uất nhất quận đống đa mệnh danh Phố Ẩm Thực! Diện tích rộng rãi, thiết kế hiện đại, phù hợp với nhiều loại hình kinh doanh. Pháp lý rõ ràng, giúp khách hàng yên tâm trong giao dịch. --------- Liên hệ ngay qua số điện thoại  0982 568 ***  để biết thêm chi tiết và sắp xếp xem nhà. A Vương.",08/11/2024,18/11/2024,"43,5 tỷ",90 m²,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,6 m,5 tầng,N/A,N/A,N/A,Tin thường,41261187
"BÁN NHÀ MẶT PHỐ ĐÊ LA THÀNH, 43,68 TỶ, 73M2, 6 PN, PHÁP LÝ ĐẦY ĐỦ, GẤP GẤP!","Đê La Thành, Đống Đa, Hà Nội","Nhanh tay sở hữu nhà mặt phố tại Đê La Thành, Đống Đa, Hà Nội với các đặc điểm nổi bật: - Diện tích: 73m², 4 tầng, mặt tiền 4.3m. - Nội thất: Đầy đủ, sẵn sàng vào ở ngay. - Số phòng ngủ: 6 PN, số toilet: 4 PT. - Hướng cửa chính và ban công: Tây Nam. - Ngõ vào rộng 30m, thuận tiện cho việc đi lại. - Pháp lý: Sổ đỏ, sổ hồng đầy đủ, đảm bảo an toàn cho người mua. Ưu điểm nổi bật: - Khu vực sầm uất, gần các tiện ích như chợ, siêu thị, trường học. - Thích hợp cho kinh doanh, văn phòng hoặc cho thuê. - Mặt tiền rộng, dễ dàng quảng bá thương hiệu. Đừng bỏ lỡ cơ hội này! Liên hệ ngay Trần Đình Bẩy theo số  0961 246 ***  để biết thêm chi tiết.",10/11/2024,17/11/2024,"43,68 tỷ",73 m²,Tây - Nam,Tây - Nam,6 phòng,4 phòng,"4,3 m",30 m,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tin VIP Bạc,41482612
"Cần bán nhà mặt phố ẩm thực Nguyễn Văn Tuyết, 2 thoáng, kinh doanh, vỉa hè, DT 89m2, MT 5.8m, 5T","Đường Nguyễn Văn Tuyết, Phường Trung Liệt, Đống Đa, Hà Nội","Vị trí siêu đẹp, kinh doanh sầm uất, gần Ngã Tư Sở, phố đi bộ buổi tối. + Vị trí thông phố Tây Sơn, Yên Lãng, Thái Thịnh, Trung Liệt, Thái Hà, gần ĐH Thủy Lợi, ĐH Công Đoàn, ĐH Ngân Hàng, khu VP... + Tiện ích bạt ngàn, cạnh Lotte Tây Sơn, Viện châm cứu TW, khách sạn Novotel. + Nhà BTCT thiết kế hợp lý, đầy đủ công năng. + Sổ chính chủ, giao dịch ngay. Lh Nguyễn Quang:  0828 536 ***",31/10/2024,11/11/2024,"43,8 tỷ",89 m²,Sổ đỏ/ Sổ hồng,N/A,N/A,N/A,"5,8 m",5 tầng,N/A,N/A,N/A,Tin thường,41268648
"Bán nhà mặt phố Nguyễn Văn Tuyết - 90m2 - NT 5,8m - nhỉnh 43tỷ - 2 mặt thoáng - kinh doanh","Đường Nguyễn Văn Tuyết, Phường Trung Liệt, Đống Đa, Hà Nội","Phố ẩm thực 24/7 - mặt tiền rộng - nở hậu - 2 mặt trước sau cực hiếm kinh doanh cực đỉnh - xây building cực đẹp. + Vị trí rất đẹp Ngã Tư Sở, với diện tích và mặt tiền lý tưởng, phát triển mọi mô hình, cực kì sầm uất nhộn nhịp. Hiện trạng 2 căn đang cho thuê, xác định bán vị trí. - Nhà cũ chủ xác định bán đất, chủ mới xây dựng tòa nhà văn phòng, Sổ đỏ đẹp nở hậu chính chủ giao dịch ngay.",07/11/2024,18/11/2024,"43,8 tỷ",90 m²,5 phòng,5 phòng,Cơ bản,N/A,"5,8 m",5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,41279121
Nhà mặt phố Chùa Bộc 5 tầng - kinh doanh siêu đỉnh - thang máy vù vù,"Phố Chùa Bộc, Phường Trung Liệt, Đống Đa, Hà Nội","Nhà có vị trí vô cùng đắc địa, thoáng sáng trước sau. Ngay gần ngã tư Chùa Bộc, Thái Hà, Tây Sơn. Vỉa hè cực rộng, để xe vô cùng tiện lợi. Nhà có 2 thoáng, phòng phía sau đều có cửa sổ. Chủ mới lắp thêm thang máy, đang cho thuê tầng 1 và 2 nhẹ nhàng 80 triệu/ tháng.",09/11/2024,19/11/2024,44 tỷ,63 m²,4 phòng,6 phòng,N/A,N/A,"3,3 m",5 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,40917148
"Bán toà nhà mặt phố Chùa Láng, gần Lotte Nguyễn Chí Thanh, 110m2, 7 tầng thang máy","Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội","Bán toà nhà mặt phố Chùa Láng, gần Lotte Nguyễn Chí Thanh: - Diện tích 105m². - 7 tầng bán hầm. - Thông sàn. - Vị trí kinh doanh đắc địa, gần Lotte, trường ĐH Ngoại Thương. - Cho thuê ~ 90tr/tháng. + Sổ đỏ chính chủ, vuông đẹp. + Giá chào 44.8 tỷ có thương lượng.",05/11/2024,15/11/2024,"44,8 tỷ",110 m²,7 phòng,7 phòng,Đầy đủ,N/A,20 m,7 tầng,Sổ đỏ/ Sổ hồng,N/A,N/A,Tin thường,40926167
"Chính chủ cần bán gấp nhà 4 tầng phố Trần Quang Diệu, Ô Chợ Dừa, Đống Đa, Hà Nội, mặt tiền 11m","Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội","Bán nhà 4 tầng đường Trần Quang Diệu, phường Ô Chợ Dừa, Đống Đa, Hà Nội, pháp lý Sổ đỏ, diện tích 110 m². Thông tin cơ bản. + Pháp lý: Sổ đỏ. + Nội thất: Đầy đủ. + Hướng cửa chính: Tây Nam. + Hướng ban công: Tây Nam. + Chiều ngang mặt tiền: 11 m. + Chiều rộng ngõ trước: 12 m. + Giá: 45 tỷ VND ( có thương lượng ) + Diện tích: 110 m². Mô tả chi tiết. + Nhà mặt phố có vị trí đắc địa, thuận tiện cho việc kinh doanh và sinh sống. + Giáp hồ Hoàng Cầu, trường chợ... + Diện tích rộng rãi, phù hợp cho nhiều mục đích sử dụng khác nhau. + Khu vực an ninh tốt, giao thông thuận lợi. + Nội thất đầy đủ, chỉ cần dọn vào ở ngay, hoặc chia lô. Liên hệ ngay để biết thêm thông tin chi tiết:  0948 166 ***  Tran Dat.",10/11/2024,20/11/2024,45 tỷ,110 m²,Tây - Nam,Tây - Nam,Sổ đỏ/ Sổ hồng,Đầy đủ,11 m,12 m,4 tầng,N/A,N/A,Tin thường,41285279
Tòa 30 phòng cho thuê 100 tr/th 10m ra MP Xã Đàn ôtô tránh 140.9m2 9T TM MT 4.9m 45tỷ Đống Đa,"Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội","Giảm sốc 2 tỷ còn 45 tỷ. Siêu phẩm cực hiếm - dòng tiền cực cao - mô hình kinh doanh có 102. Tòa apartment Xã Đàn ôtô kinh doanh 30 phòng cho thuê 140.9m² 9T thang máy MT 4.9m doanh thu 1.2 tỷ/năm 45 tỷ Đống Đa. Miêu tả: Nhà 9 tầng được thiết kế như sau: 1 - Tầng 1: Để xe, phòng bơm và bảo vệ, khu WC, khu máy giặt sấy, thang máy và thang bộ. 2 - Tầng 2: Phòng ngoài mặt đường cho thuê spa, 03 phòng cho thuê, WC, kho, thang máy, thang bộ. 3 - Tầng 3 - 7: Mỗi tầng 05 phòng căn hộ khép kín cho thuê full đồ gồm giường, tủ, điều hòa, bếp, WC, vách kính, nước nóng Hit pum trung tâm cho thuê, tổng 25 phòng cho thuê khép kín. 6 - Tầng 8: 3 phòng cho thuê khép kín, 01 phòng thờ. - Tầng 9: 01 phòng cho thuê có bếp riêng, khu giặt sấy, khu phơi phóng trong nhà, và phơi ngoài trời, khu đặt các thiết bị chức năng của tòa nhà như tủ điện thang máy, tum thang máy, thùng đun thuốc ngâm, thùng nước nóng trung tâm, hit pum, tủ điện, điều hòa, téc nước lạnh, máy bơm... Sổ đỏ 140.9m², thực tế đua ra từ tầng 2 - 8 150m², 8 tầng nổi, 01 tầng hầm, tổng diện tích sàn 1350m². Nhà tổng 33 căn hộ, 1 spa cho 1 đơn vị thuê 5 năm, doanh thu 1.2 tỷ/năm, đóng tiền 6 tháng 1 lần, cọc 1 tháng. Có GPXD, GP PCCC, sổ đỏ cất két sẵn sàng giao dịch, khu vực phù hợp kinh doanh căn hộ, nhà nghỉ, khách sạn. - Đường trước nhà ô tô 7 chỗ đỗ cửa qua nhà. - Cầu thang máy hiện đại siêu nhanh, cửa các phòng đều làm khóa, thiết bị nhập khẩu, khách thuê chỉ việc xách vali đến ở. Khu vực giao thông vô cùng thuận lợi, tiện ích bạt ngàn, 5 phút ra các bệnh viện lớn như Bạch Mai, Việt Pháp, Lão Khoa, Đại học Y... 3 phút ra các trường Đại học như Bách Khoa, Xây Dựng, Kinh Tế., các trường cấp 3 Kim Liên, cấp 2 Đống Đa, tiểu học Trung tự,... Gần trung tâm thương mại Win Com Bà Triệu, WinCom Phạm Ngọc Thạch... 10 phút lên phố Cổ, Hồ Gươm... - LH xem nhà ngay và tham khảo trên 500 căn nhà đẹp  0983 713 *** - Miễn phí 100% xem nhà, tư vấn tận tâm cho khách đến khi mua được nhà, miễn tiếp trung gian.",04/11/2024,15/11/2024,45 tỷ,"140,9 m²",9 tầng,38 phòng,Sổ vuông vắn sẵn sàng giao dịch,Nội thất cao cấp.,"4,9 m",15 m,38 phòng,N/A,N/A,Tin thường,36553169
